iter	Passed	Remaining
172	8519	40724
173	8620	40921
174	8672	40886
175	8721	40830
176	8767	40764
177	8822	40744
178	8898	40813
179	8965	40840
180	9036	40888
181	9112	40954
182	9174	40961
183	9296	41227
184	9489	41803
185	9590	41969
186	9645	41935
187	9711	41943
188	9762	41892
189	9838	41943
190	9896	41916
191	9951	41880
192	9997	41804
193	10052	41764
194	10121	41783
195	10185	41781
196	10254	41799
197	10295	41700
198	10378	41775
199	10443	41774
200	10501	41743
201	10550	41679
202	10600	41620
203	10651	41562
204	10694	41473
205	10740	41397
206	10784	41313
207	10851	41317
208	10912	41301
209	10972	41278
210	11027	41237
211	11076	41170
212	11122	41094
213	11176	41050
214	11229	41001
215	11283	40955
216	11329	40881
217	11372	40793
218	11419	40725
219	11460	40633
220	11506	40559
221	11563	40524
222	11610	40455
223	11668	40424
224	11719	40368
225	11768	40305
226	11827	40277
227	11878	40219
228	11936	40187
229	12014	40222
230	12109	40312
231	12170	40288
232	12243	40302
233	12317	40322
234	12397	40357
235	12482	40409
236	12549	40400
237	12606	40362
238	12664	40326
239	12740	40344
240	12817	40365
241	12893	40385
242	12953	40353
243	13016	40330
244	13093	40348
245	13151	40311
246	13209	40271
247	13298	40325
248	13354	40278
249	13413	40240
250	13464	40178
251	13515	40118
252	13563	40047
253	13611	39976
254	13662	39914
255	13716	39863
256	13829	39981
257	13908	40000
258	13985	40013
259	14064	40028
260	14140	40036
261	14221	40060
262	14293	40055
263	14359	40032
264	14412	39973
265	14481	39959
266	14533	39899
267	14587	39843
268	14642	39791
269	14695	39732
270	14752	39684
271	14809	39636
272	14858	39568
273	14903	39488
274	14960	39440
275	15010	39374
276	15079	39358
277	15176	39414
278	15268	39458
279	15340	39446
280	15415	39444
281	15495	39452
282	15574	39459
283	15661	39485
284	15752	39520
285	15861	39599
286	16067	39916
287	16169	39974
288	16229	39926
289	16307	39925
290	16389	39932
291	16479	39956
292	16556	39951
293	16648	39977
294	16717	39951
295	16779	39907
296	16840	39862
297	16909	39833
298	16985	39821
299	17072	39836
300	17145	39816
301	17228	39818
302	17291	39775
303	17344	39710
304	17418	39691
305	17561	39829
306	17631	39799
307	17707	39783
308	17808	39823
309	17943	39939
310	18005	39889
311	18074	39857
312	18154	39847
313	18232	39833
314	18324	39848
315	18398	39823
316	18467	39789
317	18537	39757
318	18614	39738
319	18711	39762
320	18787	39739
321	18877	39748
322	18945	39708
323	19031	39708
324	19104	39678
325	19162	39619
326	19232	39583
327	19294	39529
328	19353	39470
329	19407	39402
330	19469	39350
331	19524	39283
332	19575	39209
333	19625	39133
334	19680	39068
335	19736	39003
336	19790	38935
337	19846	38871
338	19896	38796
339	19949	38725
340	20003	38657
341	20062	38599
342	20117	38534
343	20169	38462
344	20219	38388
345	20279	38331
346	20331	38260
347	20380	38184
348	20429	38106
349	20483	38040
350	20534	37968
351	20586	37897
352	20622	37798
353	20668	37717
354	20719	37644
355	20776	37584
356	20834	37524
357	20889	37461
358	20951	37409
359	21003	37338
360	21057	37273
361	21101	37190
362	21154	37122
363	21210	37059
364	21262	36990
365	21315	36924
366	21372	36863
367	21423	36792
368	21482	36735
369	21539	36675
370	21591	36606
371	21648	36546
372	21703	36482
373	21752	36408
374	21803	36339
375	21850	36262
376	21914	36214
377	21970	36153
378	22015	36072
379	22067	36004
380	22118	35935
381	22180	35884
382	22223	35801
383	22270	35725
384	22319	35653
385	22369	35582
386	22422	35517
387	22477	35453
388	22529	35386
389	22584	35324
390	22635	35255
391	22694	35198
392	22747	35133
393	22795	35061
394	22848	34995
395	22895	34921
396	22948	34856
397	22995	34781
398	23046	34713
399	23129	34693
400	23245	34723
